name,priority
.Net/C# Developer,1
Android Developer,1
Applications Developer,1
Build Engineer,1
Business Intelligence Specialist,1
C# Developer,1
C++ Developer,1
Chief Technology Officer,1
Chief Technologist,1
DBA,1
Designer,1
Dev Lead,1
Development Manager,1
Django Developer,1
Field Engineer,1
Frontend Developer,1
Graphic Designer,100095
Hardware Engineer,1
Information Architect,1
Integration Consultant,1
iOS Developer,1
Java Developer,1
JavaScript Developer,1
Joomla Developer,1
Lead .Net/C# Developer,1
Lead Android Developer,1
Lead Application Developer,1
Lead C# Developer,1
Lead C++ Developer,1
Lead Developer,1
Lead Django Developer,1
Lead Frontend Developer,1
Lead iOS Developer,1
Lead Java Developer,1
Lead JavaScript ,1
Lead Joomla Developer,1
Lead Perl Developer,1
Lead PHP Developer,1
Lead Python Developer,1
Lead RoR Developer,1
Lead Software Developer,1
Lead Software Engineer,1
Lead Test Engineer,1
Lead UI Developer,1
Lead UX/UI Designer,1
Mobile App Developer,100094
Operations Engineer,1
Performance Architect,1
Perl Developer,1
PHP Developer,1
Pre-Sales Field Engineer,1
Principal Software Engineer,1
Product Architect,1
Product Manager,100095
Program Manager,1
Project Manager,1
Python Developer,1
QA Engineer,100098
QA Manager,1
QA Team Lead,1
RoR Developer,1
Senior Designer,1
Senior JavaScript Developer,1
Senior Product Manager,1
Senior QA Engineer,1
Senior Research Scientist,1
Senior Software Architect,1
Senior Software Engineer,100099
Senior Test Engineer,1
Senior .Net/C# Developer,1
Senior Android Developer,1
Senior Applications Developer,1
Senior C# Developer,1
Senior C++ Developer,1
Senior Django Developer,1
Senior Frontend Developer,1
Senior iOS Developer,1
Senior Java Developer,1
Senior Joomla Developer,1
Senior Perl Developer,1
Senior PHP Developer,1
Senior Python Developer,1
Senior RoR Developer,1
Senior UI Developer,1
Senior UX/UI Designer,1
Software Architect,100096
Software Design Engineer,1
Software Development Manager,1
Software Engineer,100100
Software Engineer in Test,1
System Administrator,1
System Architect,100093
Systems Engineer,1
Team Lead,1
Technical Evangelist,1
Technical Lead,1
Technical Writer,1
Technology Manager,1
Test Engineer,1
UI Developer,1
UX Architect,1
UX/UI Designer,1
Web Developer,100097
