"family","name"
"build engineer","release engineer"
"build engineer","build engineer"
"business intelligence specialist","information architect"
"business intelligence specialist","business intelligence specialist"
"business intelligence specialist","senior integration architect"
"business intelligence specialist","data warehousing engineer"
"business intelligence specialist","reporting analyst"
"business intelligence specialist","integration consultant"
"chief information officer","cio"
"chief information officer","chief information officer"
"chief technology officer","vice president, products"
"chief technology officer","cto"
"chief technology officer","director of software development"
"chief technology officer","chief technology officer"
"chief technology officer","associate technical director"
"chief technology officer","chief technology officer, cofounder"
"chief technology officer","cto/product development director"
"chief technology officer","director of engineering"
"chief technology officer","cto (but somewhere else)"
"chief technology officer","technology manager"
"chief technology officer","technology director"
"dba","oracle development dba"
"dba","oracle pl/sql developer or oracle dba"
"dba","dba"
"dba","senior etl developer"
"dba","database developer"
"dba","senior database administrator"
"development manager","dev lead"
"development manager","development manager"
"development manager","dev lead or better"
"development manager","web development manager"
"development manager","team lead software engineer"
"development manager","software development manager"
"development manager","team lead"
"development manager","director of engineering, software development manager, cto"
"field engineer","technical support"
"field engineer","desktop support"
"field engineer","support engineer"
"field engineer","operations engineer"
"field engineer","field engineer"
"field engineer","pre-sales field engineer"
"hardware engineer","hardware and networking"
"hardware engineer","hardware engineer"
"hardware engineer","electronic engineer"
"mobile app developer","android developer"
"mobile app developer","mobile app team lead"
"mobile app developer","lead mobile developer"
"mobile app developer","ios developer"
"mobile app developer","lead android developer"
"mobile app developer","lead ios developer"
"mobile app developer","senior android developer"
"mobile app developer","senior ios developer"
"mobile app developer","mobile app developer"
"product manager","senior product manager"
"product manager","product manager"
"product manager","program manager"
"product manager","project manager"
"product manager","head of product"
"qa manager","qa team lead"
"qa manager","senior qa engineer"
"qa manager","qa manager"
"research engineer","researcher"
"research engineer","data scientist"
"research engineer","chief data scientist"
"research engineer","research engineer"
"research engineer","senior research scientist"
"research engineer","researcher, c++ developer"
"research engineer","machine learning engineer / data scientist"
"software architect","systems engineer"
"software architect","technical lead"
"software architect","systems analyst"
"software architect","technical architect"
"software architect","technical evangelist"
"software architect","software architect / r&d"
"software architect","senior systems analyst"
"software architect","associate architect"
"software architect","performance architect"
"software architect","senior system architect"
"software architect","principal software architect"
"software architect","architect and development team manager"
"software architect","solution architect"
"software architect","senior software architect"
"software architect","developer, architect, dev manager"
