location,position_now,position_wanted,wanted_salary,skill_a,skill_a_yrs,skill_b,skill_b_yrs,skill_c,skill_c_yrs,qualifier_a,qualifier_b,qualifier_c,country_code
"toronto, ontario","software engineer","software architect",105,java,10,c++,10,rails,1,"learning opportunities","cool technologies",,ca
"toronto, ontario","software engineer","senior software engineer",110,python,5,java,5,,,"work from home","work-life balance",stability,ca
telecommute,"software engineer","software engineer",110,java,5,"data mining",1,c#,5,"startup environment","ace colleagues",,ca
"toronto, ontario","software engineer","mobile app developer",115,objective-c,5,iphone,1,ios,10,"career advancement","ace colleagues","workplace perks",ca
"toronto, ontario","software engineer","senior software engineer",120,android,1,iphone,1,c,10,"work from home","< 5 day workweek",,ca
"toronto, ontario","software engineer","software engineer",95,java,5,"delphi/object pascal",5,c++,5,"cool technologies","workplace perks",,ca
relocation,"software engineer","software engineer",95,python,5,java,5,php,5,"ace colleagues",,,ca
"toronto, ontario","software engineer","software engineer",100,java,10,c++,5,rails,5,"cool technologies",,,ca
"vancouver, british columbia","software engineer","team lead",95,python,5,java,1,,,stability,"career advancement",,ca
"winnipeg, manitoba","team lead","team lead",95,c#,5,"web development",5,,,,,,ca
"vancouver, british columbia","software engineer","senior software engineer",100,java,1,"data mining",5,c#,5,"work from home","< 5 day workweek",,ca
telecommute,"software engineer","senior software engineer",105,objective-c,1,iphone,5,c#,1,"cool technologies","workplace perks",stability,ca
"vancouver, british columbia","software engineer","software engineer",115,android,1,iphone,1,c,10,"work from home",stability,,ca
"vancouver, british columbia","software engineer","software engineer",110,java,5,"delphi/object pascal",1,c++,5,"work from home","< 5 day workweek","work-life balance",ca
"vancouver, british columbia","software engineer","software engineer",110,python,5,java,5,php,5,"startup environment","workplace perks",,ca
"calgary, alberta","software engineer","team lead",115,"delphi/object pascal",5,java,1,matlab,5,"career advancement","cool technologies","learning opportunities",ca
"calgary, alberta","software engineer","principal software engineer",100,"web development",10,java,10,c,10,"career advancement","ace colleagues",,ca
telecommute,"software engineer","dev lead",100,"web development",10,javascript,10,node.js,1,"ace colleagues","startup environment",,ca
"calgary, alberta","software engineer","software engineer",85,ios,5,rails,1,python,5,"< 5 day workweek",stability,,ca
"halifax, nova scotia","software engineer","dev lead",110,accessibility,1,"visual basic",5,javascript,5,"ace colleagues",,,ca
"halifax, nova scotia","software engineer","senior software engineer",110,"database management",1,php,5,perl,5,"career advancement",,,ca
"toronto, ontario","software engineer","dev lead",85,c,10,,,,,stability,,,ca
