location,position_now,position_wanted,wanted_salary,skill_a,skill_a_yrs,skill_b,skill_b_yrs,skill_c,skill_c_yrs,qualifier_a,qualifier_b,qualifier_c,country_code
haifa,"software engineer","software engineer",25,java,5,"delphi/object pascal",1,c++,5,"cool technologies","workplace perks",,il
haifa,"software engineer","team lead",25,"process management",5,java,1,,,"work from home","< 5 day workweek",,il
"ramat gan","mobile app developer","principal software engineer",20,"ux architecture",5,iphone,5,c,10,"< 5 day workweek",stability,,il
"tel aviv","software engineer","dev lead",20,matlab,10,,,,,stability,"career advancement",,il
"tel aviv","software engineer","mobile app developer",20,objective-c,5,iphone,1,ios,10,"work from home","< 5 day workweek",,il
"tel aviv","software engineer","senior software engineer",30,accessibility,1,iphone,1,c,10,"work from home","work-life balance",stability,il
haifa,"qa engineer","field engineer",25,"project management",5,c,1,"software testing",10,"career advancement","ace colleagues",,il
jerusalem,dba,dba,25,"database management",5,perl,5,,,"< 5 day workweek",stability,,il
rehovot,"field engineer","software architect",20,c++,5,java,5,,,"workplace perks","ace colleagues",,il
"tel aviv","software engineer","software architect",25,java,10,c++,10,rails,1,"ace colleagues",,,il
telecommute,"dev lead","team lead",30,perl,10,python,5,"web development",10,"ace colleagues","startup environment",,il
"beer sheba","software engineer","software architect",25,"web development",10,c,5,,,"work from home","< 5 day workweek",,il
haifa,"qa engineer","software engineer",30,"software testing",5,perl,5,java,1,"cool technologies","workplace perks",,il
haifa,"software engineer","software engineer",25,python,5,java,5,php,5,"career advancement","ace colleagues",,il
jerusalem,"field engineer","field engineer",20,c++,5,"process management",5,,,"work from home","< 5 day workweek",,il
"ramat gan","software engineer","senior software engineer",20,android,5,c#,5,java,5,"work-life balance",,,il
telecommute,"mobile app developer","mobile app developer",25,iphone,1,objective-c,5,android,1,"ace colleagues",,,il
telecommute,"software engineer","senior software engineer",30,"process management",1,iphone,5,c#,1,"cool technologies",,,il
jerusalem,"hardware engineer","hardware engineer",25,"embedded systems",5,c,1,,,"career advancement",,,il
jerusalem,dba,dba,20,"database management",10,c,5,,,"work from home","work-life balance",,il
relocation,"software engineer","team lead",25,"database management",5,java,1,matlab,5,"ace colleagues",,,il
telecommute,"software engineer","software engineer",30,java,5,"data mining",1,c#,5,"work from home","< 5 day workweek",,il
"ramat gan","software engineer","senior software engineer",20,java,1,"data mining",5,c#,5,"startup environment","ace colleagues",,il
haifa,"software engineer","software engineer",25,perl,1,iphone,1,c,10,"career advancement",,,il
rehovot,"development manager","development manager",20,,,,,,,"work from home","< 5 day workweek","work-life balance",il
haifa,"software engineer","dev lead",25,android,1,"visual basic",5,javascript,5,stability,,,il
jerusalem,"software engineer","team lead",25,"database management",5,java,1,matlab,5,"ace colleagues",,,il
"ramat gan","team lead","development manager",25,"web development",10,java,10,matlab,1,,,,il
rehovot,"qa engineer","qa team lead",30,"software testing",5,,,,,"ace colleagues",,,il
telecommute,"ux architect","ux architect",20,objective-c,5,accessibility,1,,,stability,"career advancement",,il
"ramat gan","software engineer","senior software engineer",25,"delphi/object pascal",1,php,5,perl,5,"cool technologies","workplace perks",stability,il
haifa,"build engineer","project manager",30,objective-c,5,"project management",1,,,"ace colleagues","startup environment",,il
"ramat gan","team lead","dev lead",25,c,10,c#,5,node.js,1,,,,il
rehovot,"qa engineer","qa engineer",30,"software testing",5,,,,,"career advancement","ace colleagues",,il
rehovot,"hardware engineer","hardware engineer",30,"embedded systems",5,c,5,,,"learning opportunities","cool technologies",,il
"tel aviv","software engineer","software engineer",30,java,10,c++,5,rails,5,"startup environment","workplace perks",,il
"beer sheba","software engineer","software engineer",25,c,5,mathematica,5,"data mining",1,"work from home",stability,,il
jerusalem,"project manager","development manager",20,"process management",5,,,,,stability,"ace colleagues",,il
jerusalem,"software engineer","principal software engineer",20,"database management",10,java,10,c,10,"career advancement",,,il
"tel aviv","software engineer","senior software engineer",30,python,5,java,5,,,"career advancement","cool technologies","learning opportunities",il
haifa,dba,"field engineer",20,"web development",10,,,,,"career advancement","cool technologies",,il
rehovot,"build engineer","qa engineer",35,python,1,"software testing",5,,,,,,il
rehovot,"field engineer","pre-sales field engineer",20,"database management",10,perl,1,,,"career advancement",,,il
"tel aviv","software engineer","team lead",20,"object-oriented design",5,java,10,c++,5,stability,,,il
telecommute,"mobile app developer","senior software engineer",20,iphone,5,android,1,ios,5,"startup environment","workplace perks",,il
haifa,"software architect","software architect",20,,,,,,,"ace colleagues",,,il
haifa,"software engineer","software engineer",25,perl,1,iphone,1,c,10,"career advancement",,,il
jerusalem,"product manager","product manager",35,"product management",10,java,5,,,"career advancement","ace colleagues",,il
"ramat gan","team lead","team lead",25,c#,5,"web development",5,,,"learning opportunities","cool technologies",,il
"tel aviv","software engineer","software engineer",30,"database management",5,"delphi/object pascal",5,c++,5,"career advancement","ace colleagues","workplace perks",il
