HITId,Input.orig_ad_url,Input.search,Input.work_from_home,Val1work_from_home,Val2work_from_home,Val3work_from_home,Chosen_work_from_home,All4Eq_work_from_home,Input.open_source,Val1open_source,Val2open_source,Val3open_source,Chosen_open_source,All4Eq_open_source,Input.startup,Val1startup,Val2startup,Val3startup,Chosen_startup,All4Eq_startup,Input.kegerator,Val1kegerator,Val2kegerator,Val3kegerator,Chosen_kegerator,All4Eq_kegerator,Input.bleeding_edge_tech,Val1bleeding_edge_tech,Val2bleeding_edge_tech,Val3bleeding_edge_tech,Chosen_bleeding_edge_tech,All4Eq_bleeding_edge_tech,Input.meaningful_jobs,Val1meaningful_jobs,Val2meaningful_jobs,Val3meaningful_jobs,Chosen_meaningful_jobs,All4Eq_meaningful_jobs,Input.relocation,Val1relocation,Val2relocation,Val3relocation,Chosen_relocation,All4Eq_relocation,Val1title,Val2title,Val3title,Chosen_title,Val1company,Val2company,Val3company,Chosen_company,Val1description,Val2description,Val3description,Chosen_description,Val1city,Val2city,Val3city,Chosen_city,Val1state,Val2state,Val3state,Chosen_state,Val1country_code,Val2country_code,Val3country_code,Chosen_country_code,Val1job_ad_url,Val2job_ad_url,Val3job_ad_url,Chosen_job_ad_url,NumRepeats
3PN6H8C9R3P2NTH0J5FEU6N5370DA4,http://ca.indeed.com/rc/clk?jk=4295d0157bcbbd83,work_from_home,on,on,on,,,,"","","",,,,"","","",,,,"","","",,,,"","","",,,,"","","",,,,,"","",,,,Software Engineers-Lustre,Software Engineers-Lustre,,,Development experience preferably with file systems or networking,Whamcloud,,,Master’s Degree in computer science and 3 years of relevant experience; or Bachelor’s Degree in computer science or closely related field and 5 years of relevant experience; or equivalent work experience,"Responsibilities
Analyzes, designs, programs, debugs, and modifies Lustre code
Responds to support requests from Whamcloud’s customers by creating code fixes or providing workarounds
Experience
Linux kernel development
Deep acumen with high performance storage systems
Proactive and solution-oriented problem solver
Prior project and/or team leadership experience is not required but would be considered an asset
Strong verbal and written English communication skills.
Ability to work well in a distributed team environment.
High level of attention to detail and comfortable multi-tasking",,,us and canada,Remote,,,TAMI,N/A,,,ca,ca,,,http://www.startuply.com/Jobs/Software_Engineers_Lustre_6424_1.aspx?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,http://www.startuply.com/Jobs/Software_Engineers_Lustre_6424_1.aspx?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,,,2
36FQTHX3Z2Q9OBKVWU9YC8LZUCWB3Z,http://ca.indeed.com/rc/clk?jk=72823ee7ccfe8e4f,work_from_home,on,on,,,,,"","",,,,,"","",,,,,"","",,,,,"","",,,,,"","",,,,,,"",,,,,Software Engineers-Python,,,,Whamcloud,,,,"Responsibilities
As a Python Engineer you will:
Develop, maintain and debug the Django back-end of our scalable storage management application.
This includes expanding the app’s feature set and working in continuous collaboration with the front-end developers to improve user experience.
Analyzes, designs, programs, debugs, and modifies software enhancements and/or new products used in local, networked, or Internet-related computer programs.
Using current programming language and technologies, writes code, completes programming, and performs testing and debugging of applications. Completes documentation and procedures for installation and maintenance.
May interact with users to define system requirements and/or necessary modifications.
Experience
Solid understanding of Python and Django
Experience with JavaScript/JQuery, HTML5 and Ajax
Strong knowledge of Linux operating system
Experience with large data sets
Team player with excellent verbal and written communication skills
Ability to excel in a fast-paced, fast-growth environment where action and initiative are prerequisites to performing well
Experience in distributed work environment where collaboration can take place in person, online or over the phone",,,,Remote,,,,N/A,,,,ca,,,,http://www.startuply.com/Jobs/Software_Engineers_Python_6424_2.aspx?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,,,,1
3EFNPKWBMRN84OHLYEC9SRPG38Z305,http://ca.indeed.com/rc/clk?jk=160eaca260be4caf,bleeding_edge_tech,"","","",,,,"","","",,,,"","","",,,,"","","",,,,on,on,on,,,,"","","",,,,,"","",,,,N/A,n/a,,,N/A,CBC/RADIO-CANADA,,,N/A,n/a,,,N/A,n/a,,,N/A,n/a,,,ca,ca,,,https://cbc.taleo.net/careersection/2/jobdetail.ftl?job=237184,https://cbc.taleo.net/careersection/2/jobdetail.ftl?job=237184,,,2
3S37Y8CWI7ZMUA1ARZAD9RQQIDAW4L,http://ca.indeed.com/rc/clk?jk=a3fb65ec018914c3,bleeding_edge_tech,"","",,,,,"","",,,,,"","",,,,,"","",,,,,on,on,,,,,"","",,,,,,"",,,,,n/a,,,,n/a,,,,n/a,,,,n/a,,,,n/a,,,,ca,,,,http://jobview.monster.ca/Senior-Java-Developer-Job-Toronto-ON-CA-132960156.aspx?WT.mc_n=Indeed_CA&from=indeed,,,,1
35F6NGNVM7IRLGFZYS39PJ315LIT7C,http://ca.indeed.com/rc/clk?jk=a7f9bfe8b56c42cf,bleeding_edge_tech,"","","",,,,"","","",,,,"","","",,,,"","","",,,,on,on,on,,,,"","","",,,,,"","",,,,Business Intelligence Developer,Business Intelligence Developer,,,ROSS,Pinnacle Workforce,,,"Perform data analysis, modeling and profiling
Conduct ETL development and create ETL processes
Provide guidance on project design, report development, security and data mart design
Build reports/dashboards for dissemination through a web based environment","Responsibilities:

Perform data analysis, modeling and profiling
Conduct ETL development and create ETL processes
Provide guidance on project design, report development, security and data mart design
Build reports/dashboards for dissemination through a web based environment
Play a very strong hands-on role in the implementation of the BI platform in an organization that has firmly adopted Agile and automated testing
Initial deliveries will focus on providing self-service reporting and analysis capabilities to both internal and external customers
Qualifications:

Very Strong SQL programming skills
5 years of experience delivering BI projects
Breadth and depth of knowledge in BI concepts, methodologies and architectures
Experience with at least one major ETL tool
Experience with at least one major BI tool",,,Toronto,Toronto,,,ON,ON,,,ca,ca,,,http://www.pcrecruiter.net/pcrbin/reg5.aspx?i1=WEBGUEST&i2=101257686282729&i3=DETAIL&i4=101257686282729&i5=&i6=&i7=&i8=4%2f16%2f2014%205:52:17%20AM&hash=90905375&i10=0&pcr-id=dJq6pdIDcEMLrUV%2bvwAEqdVi8HOKiT2aCvvwK06zfbhVMqE5dFFW%2bHjex7wNyV%2br%2fEHumEg2l5z1%0D%0AuQ%3d%3d,http://www.pcrecruiter.net/pcrbin/reg5.aspx?i1=WEBGUEST&i2=101257686282729&i3=DETAIL&i4=101257686282729&i5=&i6=&i7=&i8=4%2f16%2f2014%205:52:17%20AM&hash=90905375&i10=0&pcr-id=dJq6pdIDcEMLrUV%2bvwAEqdVi8HOKiT2aCvvwK06zfbhVMqE5dFFW%2bHjex7wNyV%2br%2fEHumEg2l5z1%0d%0auQ%3d%3d,,,2
3VMHWJRYHUFBHQ3PLL2I2E1OG5PFXL,http://ca.indeed.com/rc/clk?jk=45120d6fc7dd527c,bleeding_edge_tech,"","",,,,,"","",,,,,"","",,,,,"","",,,,,on,on,,,,,"","",,,,,,"",,,,,N/A,,,,N/A,,,,N/A - This Job Posting Has Expired,,,,N/A,,,,N/A,,,,ca,,,,http://jobview.monster.ca/Junior-Full-Stack-PHP-Developer-Job-Toronto-ON-CA-132728177.aspx?WT.mc_n=Indeed_CA&from=indeed,,,,1
3V7ICJJAZ9FU673ZW8EHMDD58CSB4K,http://ca.indeed.com/rc/clk?jk=a8ee9dc8a80157ea,bleeding_edge_tech,"","",,,,,"","",,,,,"","",,,,,"","",,,,,on,on,,,,,"","",,,,,,"",,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,ca,,,,http://www.optionscs.com/content/junior-full-stack-php-developer-cs-0296,,,,1
3D42WVSDH7U0HVTZQHOKLS8XIBJFYR,http://ca.indeed.com/rc/clk?jk=cc22c218af9a4cd1,bleeding_edge_tech,"","","",,,,"","","",,,,"","","",,,,"","","",,,,on,on,on,,,,"","","",,,,,"","",,,,n/a,Sr .NET/C# Programmer Analyst,,,n/a,Workopolis,,,n/a,"Analyze business requirements for the company and design the best possible solution based on technology, infrastructure and timelines provided.
Work closely with the Application Development Manager, Application Development Assistant Manager, Team Leads, Business Analysts and End Users to ensure code quality, accuracy and correct business solutions have been developed.
Participates, and at times leads, in the multiple stages of project development adhering to the SDLC/CMMI and methodologies.
Develop solutions utilizing the appropriate technology (VB 6.0, Crystal Reports, SQL Server 2008, XML, XSLT).
Develop unit test cases and criteria ensuring all functionality adheres to all required specifications.
Provide production implementation and post-implementation support.
SQL server database maintenance including but not limited to schema changes, stored procedures, views, functions, replication concepts and performance monitoring and tuning.
Complete project deliverables within timelines specified and budget constraints as per business requirements.
Investigate/discuss technology changes, paths and standards to facilitate application evolution.
Assist in IT development related Help Desk tickets issued by the end user(s) or third party businesses.",,,n/a,Scarborough,,,n/a,on,,,ca,ca,,,http://www.workopolis.com/jobsearch/job/15009158?uc=E12&cid=271%3A19L%3A13678&utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,http://www.workopolis.com/jobsearch/job/15009158?uc=E12&cid=271%3A19L%3A13678&utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,,,2
386T3MLZLMUU5LNRAV75J8XRJUR802,http://ca.indeed.com/rc/clk?jk=e04dc717d7f342ef,bleeding_edge_tech,"","",,,,,"","",,,,,"","",,,,,"","",,,,,on,on,,,,,"","",,,,,,"",,,,,n/a,,,,TD Bank,,,,n/a,,,,n/a,,,,n/a,,,,ca,,,,https://sjobs.brassring.com/TGWebHost/jobdetails.aspx?jobId=1103319&JobReqLang=1&partnerid=25404&siteid=5602&Codes=TD103,,,,1
3NZ1E5QA6Y0C2Q7ZADXRR5JJ88NB5P,http://ca.indeed.com/rc/clk?jk=17110e2bb4ea3cc7,startup,"","",,,,,"","",,,,,on,on,,,,,"","",,,,,"","",,,,,"","",,,,,,"",,,,,WORKBRAIN SOFTWARE ENGINEER- CONTRACTOR,,,,Ultimate software,,,,"Primary Responsibilities:

Analyze and resolve problems occuring during Workbrain upgrades and new installations
Work closely with Business to help them in day to day problems
Understand customer requirements and address them via configuration or code
Identify recurring issues/alerts and conduct root cause analysis
Help US upgrade more than 200 customers to Workbrain 6.1 in the most efficient manner
Work with US, Infor, and customer resources to define and implement custom requirements 
Requirements:

Must have a minimum of 3 years of Workbrain experience
Must have experience with the Workbrain upgrade tool going back to version 5.0.4
Workforce Management Experience
Must have expertise in Java - hands on experience in developing and supporting Java Applications
Strong initiative to improve processes, tools, methodologies, and overall quality of the product 
Agile Software Development experience such as Kanban, Scrum, Test First Development, Test Driven Development and Extreme Programming
Experience developing and executing test plans
Experience developing your own testing tools to facilitate testing a plus
Self-motivated team player with strong problem solving skills",,,,Toronto,,,,ON,,,,ca,,,,http://recruiting.ultipro.com/usg1006/JobBoard/dfc53730-57d1-3460-336f-ddafabd108f3/Opportunity/OpportunityDetail?opportunityId=e457990c-b476-415d-b691-b558ccccb556&__jbsrc=050B5775-2845-4EFA-B8E6-7C64DB44FB7B,,,,1
